scenario,model_path,defense,img_idx,label_true,avg_ssim,avg_psnr,avg_loss,n_runs
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,clipping,40,5,0.1337038534879684,7.694906502206561,41.055535049438475,25
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,clipping,41,2,0.14187488913536067,8.875561610359807,12.35718822479248,25
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,clipping,42,2,0.05974383160471912,7.315278705426535,2.6234729051589967,25
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,clipping,43,7,0.2276614814996719,9.124427849432722,0.3171156686544418,25
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,clipping,44,1,0.1757894933223724,8.187961382271752,7.988861970901489,25
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,clipping,45,1,0.23014397088438268,9.199164527376624,2.2448817932605745,25
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,clipping,46,1,0.609460928440094,15.787815624817076,0.010085730329155876,25
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,clipping,47,2,0.040984195098280864,6.715243300771498,24.200374450683594,25
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,clipping,48,2,0.03803370848298068,6.9922357069511705,9.4215807056427,25
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,clipping,49,0,0.25463218390941617,8.622859658545137,15.109141163825988,25
