image_idx,variance,brisque_score
0,0.0,77.13986206054688
0,0.01,78.7799072265625
0,0.05,47.436767578125
0,0.1,92.58615112304688
0,0.2,79.0980224609375
1,0.0,100.66423034667969
1,0.01,95.55584716796875
1,0.05,98.17269897460938
1,0.1,69.922607421875
1,0.2,82.06851196289062
2,0.0,66.13372802734375
2,0.01,59.84185791015625
2,0.05,71.3931884765625
2,0.1,91.199951171875
2,0.2,73.87847900390625
3,0.0,39.1729736328125
3,0.01,40.813720703125
3,0.05,59.5531005859375
3,0.1,60.35931396484375
3,0.2,65.74844360351562
4,0.0,62.80694580078125
4,0.01,125.28598022460938
4,0.05,93.1253662109375
4,0.1,91.50152587890625
4,0.2,76.89202880859375
5,0.0,50.35015869140625
5,0.01,51.62091064453125
5,0.05,80.44476318359375
5,0.1,66.7828369140625
5,0.2,115.26881408691406
6,0.0,41.31732177734375
6,0.01,69.77301025390625
6,0.05,64.07785034179688
6,0.1,68.64068603515625
6,0.2,103.73095703125
7,0.0,61.48370361328125
7,0.01,61.12255859375
7,0.05,59.94110107421875
7,0.1,50.10491943359375
7,0.2,55.189910888671875
8,0.0,49.4989013671875
8,0.01,54.3533935546875
8,0.05,66.73635864257812
8,0.1,68.6434326171875
8,0.2,65.2034912109375
9,0.0,43.81988525390625
9,0.01,80.095947265625
9,0.05,85.9813232421875
9,0.1,79.24462890625
9,0.2,79.54525756835938
10,0.0,36.6956787109375
10,0.01,46.96405029296875
10,0.05,84.4730224609375
10,0.1,63.28094482421875
10,0.2,98.114501953125
11,0.0,19.4630126953125
11,0.01,87.14080810546875
11,0.05,62.07177734375
11,0.1,127.04531860351562
11,0.2,100.11593627929688
12,0.0,16.79833984375
12,0.01,55.75616455078125
12,0.05,72.64276123046875
12,0.1,63.7625732421875
12,0.2,89.46652221679688
13,0.0,24.8782958984375
13,0.01,44.7220458984375
13,0.05,61.5391845703125
13,0.1,66.3057861328125
13,0.2,62.622894287109375
14,0.0,24.42230224609375
14,0.01,60.21392822265625
14,0.05,62.976318359375
14,0.1,77.81973266601562
14,0.2,63.089263916015625
15,0.0,28.5
15,0.01,62.416259765625
15,0.05,58.752105712890625
15,0.1,62.754364013671875
15,0.2,65.2314453125
16,0.0,107.6075439453125
16,0.01,120.92576599121094
16,0.05,66.97412109375
16,0.1,76.69021606445312
16,0.2,72.48260498046875
17,0.0,49.69989013671875
17,0.01,59.7593994140625
17,0.05,50.32275390625
17,0.1,63.3341064453125
17,0.2,73.89141845703125
18,0.0,57.063720703125
18,0.01,53.23468017578125
18,0.05,68.49072265625
18,0.1,99.24325561523438
18,0.2,71.77142333984375
19,0.0,14.66705322265625
19,0.01,30.6949462890625
19,0.05,56.22943115234375
19,0.1,65.67852783203125
19,0.2,61.699005126953125
20,0.0,40.56610107421875
20,0.01,54.9434814453125
20,0.05,74.84930419921875
20,0.1,72.5914306640625
20,0.2,66.69589233398438
21,0.0,39.76171875
21,0.01,51.76434326171875
21,0.05,108.77825927734375
21,0.1,59.01788330078125
21,0.2,81.66094970703125
22,0.0,53.30816650390625
22,0.01,54.34710693359375
22,0.05,76.12762451171875
22,0.1,87.50387573242188
22,0.2,92.32333374023438
23,0.0,57.47857666015625
23,0.01,56.6163330078125
23,0.05,76.9686279296875
23,0.1,65.3507080078125
23,0.2,77.38723754882812
24,0.0,48.24127197265625
24,0.01,49.8040771484375
24,0.05,50.755859375
24,0.1,53.19024658203125
24,0.2,77.31393432617188
25,0.0,26.49298095703125
25,0.01,20.110595703125
25,0.05,80.3408203125
25,0.1,64.5093994140625
25,0.2,80.48944091796875
26,0.0,57.42352294921875
26,0.01,70.02490234375
26,0.05,65.76370239257812
26,0.1,92.00222778320312
26,0.2,90.2373046875
27,0.0,99.95327758789062
27,0.01,82.08901977539062
27,0.05,79.17449951171875
27,0.1,74.233154296875
27,0.2,69.5341796875
28,0.0,97.74722290039062
28,0.01,89.33990478515625
28,0.05,98.48117065429688
28,0.1,62.73211669921875
28,0.2,63.794525146484375
29,0.0,126.03958129882812
29,0.01,132.80780029296875
29,0.05,66.18264770507812
29,0.1,65.02801513671875
29,0.2,105.68310546875
30,0.0,39.31689453125
30,0.01,61.38043212890625
30,0.05,47.51995849609375
30,0.1,92.64132690429688
30,0.2,64.21051025390625
31,0.0,114.82503509521484
31,0.01,129.50341796875
31,0.05,117.86543273925781
31,0.1,73.74044799804688
31,0.2,95.85916137695312
32,0.0,25.34222412109375
32,0.01,44.556640625
32,0.05,96.95809936523438
32,0.1,64.69692993164062
32,0.2,87.29534912109375
33,0.0,41.98681640625
33,0.01,90.19100952148438
33,0.05,88.4515380859375
33,0.1,74.72003173828125
33,0.2,96.5107421875
34,0.0,92.73394775390625
34,0.01,89.3721923828125
34,0.05,77.30523681640625
34,0.1,67.90286254882812
34,0.2,72.14654541015625
35,0.0,101.32888793945312
35,0.01,83.45404052734375
35,0.05,85.34649658203125
35,0.1,81.969970703125
35,0.2,118.15115356445312
36,0.0,91.53645324707031
36,0.01,125.427978515625
36,0.05,138.60813903808594
36,0.1,58.20318603515625
36,0.2,52.547821044921875
37,0.0,72.74005126953125
37,0.01,52.85009765625
37,0.05,63.53363037109375
37,0.1,67.90310668945312
37,0.2,73.25039672851562
38,0.0,48.84521484375
38,0.01,66.02215576171875
38,0.05,69.36691284179688
38,0.1,65.58575439453125
38,0.2,72.211669921875
39,0.0,147.6334228515625
39,0.01,144.37118530273438
39,0.05,60.781219482421875
39,0.1,76.12274169921875
39,0.2,102.15487670898438
40,0.0,33.77044677734375
40,0.01,55.63848876953125
40,0.05,65.04696655273438
40,0.1,77.5458984375
40,0.2,62.1973876953125
