Image,Variance,BRISQUE,PSNR,SSIM
img0,0.0,26.0155029296875,inf,1.0
img0,0.01,47.52105712890625,22.224807174671,0.7689997842082393
img0,0.05,47.693084716796875,16.116016219488813,0.4816459095308399
img0,0.1,47.551422119140625,14.26861616882967,0.3984484195795386
img0,0.5,88.58468627929688,10.669821095834195,0.1601933180304705
img1,0.0,53.885101318359375,inf,1.0
img1,0.01,47.060394287109375,22.153776780123206,0.8857305472611413
img1,0.05,51.595428466796875,16.28238990840697,0.6839986860546697
img1,0.1,71.89035034179688,14.229135363752361,0.5686487526639036
img1,0.5,88.53378295898438,10.598917266207264,0.27763095190071896
