Image,Variance,BRISQUE,NIQE,ILNIQE,MANIQA,PSNR,SSIM
img0,0.0,26.0155029296875,11.768711713258199,122.21650962869911,0.1754889339208603,inf,1.0
img0,0.01,51.959381103515625,10.440910310625185,126.68505345043097,0.15436053276062012,22.329115107291088,0.7810211645818782
img0,0.05,64.49824523925781,14.903281497080625,114.96635052943836,0.2778376042842865,16.118758651343267,0.4746382862814244
img0,0.1,57.629119873046875,14.582545771093864,118.70440171997603,0.3756006360054016,14.247468023580964,0.3770114945419311
img0,0.5,86.14936065673828,20.370552487995962,129.320926257972,0.43620339035987854,10.812615010912294,0.16440301140748323
img1,0.0,53.885101318359375,13.576313962748854,114.7137350308569,0.21034811437129974,inf,1.0
img1,0.01,43.164306640625,11.129722802632266,120.06248688462341,0.11162862926721573,22.230998696082814,0.8959757321967533
img1,0.05,70.75341796875,12.241211990338952,130.63694809265513,0.18366645276546478,16.183469252282222,0.6914838378567797
img1,0.1,63.046356201171875,14.547332145335725,123.66503379904705,0.28912460803985596,14.208424505948312,0.5860433501598769
img1,0.5,103.63204956054688,30.990784994416206,122.16320563608208,0.41055041551589966,10.452288017219765,0.2719837876978357
