Image,Variance,BRISQUE,PSNR,SSIM
img0,0.0,26.0155029296875,inf,1.0
img0,0.01,47.446319580078125,22.030287309941933,0.7728157887450543
img0,0.05,67.31558227539062,16.02871868971931,0.4693966689309091
img0,0.1,72.18292236328125,14.10054340046157,0.37011595223479143
img0,0.2,115.18246459960938,12.256510620046917,0.2578116232630849
img0,0.3,72.27117919921875,11.757597242162571,0.2157766422915995
img0,0.4,52.2867431640625,10.836717730875407,0.15038474796473728
img0,0.5,107.37735748291016,10.568945487571359,0.14642550806728344
img1,0.0,53.885101318359375,inf,1.0
img1,0.01,43.7386474609375,21.704162268734922,0.8789192339210731
img1,0.05,64.72750854492188,16.230217331103024,0.6803723251426904
img1,0.1,56.50762939453125,14.103735355094225,0.5639228249914577
img1,0.2,79.18034362792969,12.30565065146327,0.4327447329169695
img1,0.3,73.19264221191406,11.608668609489026,0.378386103139813
img1,0.4,77.43402099609375,10.855801142167326,0.2988239018807837
img1,0.5,84.43527221679688,10.778865870124452,0.3155172450086531
img2,0.0,17.39044189453125,inf,1.0
img2,0.01,50.06524658203125,22.27606435319072,0.5339086644334545
img2,0.05,64.68768310546875,16.136954106645025,0.27769570085356826
img2,0.1,75.1038818359375,14.105897679785063,0.2071313783842703
img2,0.2,81.98640441894531,12.317035803820847,0.13956406492121257
img2,0.3,84.21514892578125,11.615522766046059,0.11486663249428912
img2,0.4,89.80355072021484,11.17533929972347,0.09398260174506412
img2,0.5,92.64143371582031,10.845722235391941,0.08727286531220717
