Image,Variance,BRISQUE,PSNR,SSIM
img0,0.0,26.0155029296875,inf,1.0
img0,0.01,44.81341552734375,21.88625362330737,0.754085224248558
img0,0.05,65.87152099609375,15.86759849405725,0.4707771461380075
img0,0.1,67.58219909667969,14.270576180666104,0.37741503544571686
img0,0.2,77.06877136230469,12.356378195898197,0.2771595478558908
img0,0.3,86.86259460449219,11.375891527379025,0.1917083792556281
img0,0.4,101.28367614746094,11.087533605882928,0.19099452865787303
img0,0.5,80.48017120361328,10.719950399628805,0.18081077675562174
img1,0.0,53.885101318359375,inf,1.0
img1,0.01,39.41571044921875,22.50761159431091,0.901899548637883
img1,0.05,49.373870849609375,16.70202479014306,0.7104466509320808
img1,0.1,72.728759765625,14.065695091638448,0.5611741576593149
img1,0.2,61.733489990234375,12.188837249054407,0.40254965582928465
img1,0.3,79.58467102050781,11.716024094546999,0.4009449214394291
img1,0.4,86.85579681396484,10.83322609800911,0.29099646163349296
img1,0.5,76.35984802246094,10.589576565656833,0.2896619872977586
img2,0.0,5.2181396484375,inf,1.0
img2,0.01,52.331939697265625,22.357342232916913,0.5207414827567286
img2,0.05,68.94210815429688,16.21648904597536,0.24520793404424454
img2,0.1,77.57167053222656,14.008629721223238,0.16656039079007065
img2,0.2,87.3812484741211,12.346770844573022,0.11432882337187433
img2,0.3,89.44346618652344,11.603807633926845,0.09307762377910937
img2,0.4,89.55406188964844,11.128276446422626,0.0764566063488264
img2,0.5,93.80370330810547,10.830562704260844,0.06840134121522945
