scenario,model_path,defense,img_idx,label_true,repeat_id,seed,label_pred,label_correct,ssim,psnr,final_loss,avg_ssim,avg_psnr,std_ssim,std_psnr,label_acc,threshold,model_acc_before,model_acc_after
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,0,6,0,123,6,1,0.6061112284660339,17.80878365605296,0.028736824169754982,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,0,6,1,124,6,1,0.615010142326355,17.943631892812554,0.028445569798350334,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,0,6,2,125,6,1,0.6308944821357727,18.246229048318853,0.028380345553159714,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,0,6,3,126,6,1,0.6027435660362244,17.642329962658614,0.028190309181809425,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,0,6,4,127,6,1,0.6001797318458557,17.69833480029234,0.031228411942720413,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,0,6,5,128,6,1,0.6319725513458252,18.130455151983064,0.028639277443289757,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,0,6,6,129,6,1,0.6316370368003845,18.373239768167135,0.028443990275263786,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,0,6,7,130,6,1,0.6237792372703552,18.154025327094462,0.028122389689087868,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,0,6,8,131,6,1,0.6111540198326111,17.979730998442285,0.02913547493517399,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,0,6,9,132,6,1,0.6110984683036804,17.73846762851765,0.028999274596571922,,,,,,,,
fl_model_orig_grads,global_model_state_exp2_b64_e15_c10.pt,sgp,0,6,10,133,6,1,0.6129150390625,17.99402084892826,0.028308697044849396,,,,,,,,
