repeat_id=124, ssim=0.892943, psnr=26.059521
repeat_id=77, ssim=0.893351, psnr=26.059480
repeat_id=177, ssim=0.893351, psnr=26.059480
repeat_id=7, ssim=0.893192, psnr=26.057832
repeat_id=107, ssim=0.893192, psnr=26.057832
repeat_id=41, ssim=0.893287, psnr=26.057384
repeat_id=141, ssim=0.893287, psnr=26.057384
repeat_id=32, ssim=0.892993, psnr=26.055733
repeat_id=132, ssim=0.892993, psnr=26.055733
repeat_id=8, ssim=0.893964, psnr=26.054577
repeat_id=108, ssim=0.893964, psnr=26.054577
repeat_id=78, ssim=0.893201, psnr=26.054372
repeat_id=178, ssim=0.893201, psnr=26.054372
repeat_id=51, ssim=0.893467, psnr=26.049077
repeat_id=151, ssim=0.893467, psnr=26.049077
repeat_id=86, ssim=0.892898, psnr=26.047563
repeat_id=186, ssim=0.892898, psnr=26.047563
repeat_id=68, ssim=0.893593, psnr=26.045651
repeat_id=168, ssim=0.893593, psnr=26.045651
repeat_id=40, ssim=0.893919, psnr=26.044842
repeat_id=140, ssim=0.893919, psnr=26.044842
repeat_id=21, ssim=0.894005, psnr=26.043854
repeat_id=121, ssim=0.894005, psnr=26.043854
repeat_id=75, ssim=0.893037, psnr=26.037255
repeat_id=175, ssim=0.893037, psnr=26.037255
repeat_id=56, ssim=0.892573, psnr=26.036674
repeat_id=156, ssim=0.892573, psnr=26.036674
repeat_id=34, ssim=0.893098, psnr=26.036237
repeat_id=134, ssim=0.893098, psnr=26.036237
repeat_id=6, ssim=0.893366, psnr=26.035239
repeat_id=106, ssim=0.893366, psnr=26.035239
repeat_id=67, ssim=0.893716, psnr=26.034629
repeat_id=167, ssim=0.893716, psnr=26.034629
repeat_id=63, ssim=0.893540, psnr=26.034075
repeat_id=163, ssim=0.893540, psnr=26.034075
repeat_id=48, ssim=0.892958, psnr=26.033735
repeat_id=148, ssim=0.892958, psnr=26.033735
repeat_id=9, ssim=0.892903, psnr=26.031962
repeat_id=109, ssim=0.892903, psnr=26.031962
repeat_id=91, ssim=0.893958, psnr=26.031101
repeat_id=191, ssim=0.893958, psnr=26.031101
repeat_id=23, ssim=0.893341, psnr=26.027246
repeat_id=123, ssim=0.893341, psnr=26.027246
repeat_id=92, ssim=0.893628, psnr=26.026561
repeat_id=192, ssim=0.893628, psnr=26.026561
repeat_id=17, ssim=0.893520, psnr=26.024020
repeat_id=117, ssim=0.893520, psnr=26.024020
repeat_id=55, ssim=0.893637, psnr=26.021317
repeat_id=155, ssim=0.893637, psnr=26.021317
repeat_id=19, ssim=0.893681, psnr=26.017897
repeat_id=119, ssim=0.893681, psnr=26.017897
repeat_id=18, ssim=0.892837, psnr=26.016940
repeat_id=118, ssim=0.892837, psnr=26.016940
repeat_id=45, ssim=0.892642, psnr=26.015053
repeat_id=145, ssim=0.892642, psnr=26.015053
repeat_id=10, ssim=0.892467, psnr=26.013519
repeat_id=110, ssim=0.892467, psnr=26.013519
repeat_id=61, ssim=0.892553, psnr=26.010639
repeat_id=161, ssim=0.892553, psnr=26.010639
repeat_id=28, ssim=0.892750, psnr=26.006366
repeat_id=128, ssim=0.892750, psnr=26.006366
repeat_id=79, ssim=0.893062, psnr=26.006276
repeat_id=179, ssim=0.893062, psnr=26.006276
repeat_id=69, ssim=0.892977, psnr=26.005205
repeat_id=169, ssim=0.892977, psnr=26.005205
repeat_id=11, ssim=0.893248, psnr=26.004672
repeat_id=111, ssim=0.893248, psnr=26.004672
repeat_id=39, ssim=0.892915, psnr=25.999739
repeat_id=139, ssim=0.892915, psnr=25.999739
repeat_id=5, ssim=0.892916, psnr=25.993951
repeat_id=105, ssim=0.892916, psnr=25.993951
repeat_id=3, ssim=0.892460, psnr=25.985507
repeat_id=103, ssim=0.892460, psnr=25.985507
repeat_id=38, ssim=0.893667, psnr=25.978537
repeat_id=138, ssim=0.893667, psnr=25.978537
repeat_id=94, ssim=0.892570, psnr=25.961608
repeat_id=194, ssim=0.892570, psnr=25.961608
